state,idxs,pop,pop_18,pop_60
Malaysia,0,32660000,23409600,3502000
Johor,1,3794000,2711900,428700
Kedah,2,2194100,1540600,272500
Kelantan,3,1928800,1236200,194100
Melaka,4,937500,677400,118500
Negeri Sembilan,5,1129100,814400,145000
Pahang,6,1684600,1175800,190200
Pulau Pinang,7,1774400,1367200,239200
Perak,8,2508900,1862700,397300
Perlis,9,255400,181200,35100
Selangor,10,6555400,4747900,575800
Terengganu,11,1275100,808400,115200
Sabah,12,3833000,2758400,238900
Sarawak,13,2822200,2042700,332800
W.P. Kuala Lumpur,14,1746600,1348600,205800
W.P. Labuan,15,100100,68500,7900
W.P. Putrajaya,16,116100,67700,5000
